Forma	Frec. gral.	Frec. norm.
de	20670985	61827.534
la	12120610	36253.107
que	10460665	31288.162
y	8847001	26461.645
el	8405150	25140.055
en	8368164	25029.429
a	6766329	20238.292
los	5036895	15065.504
se	4032356	12060.897
del	3663174	10956.663
un	3632397	10864.608
las	3355761	10037.181
con	3226538	9650.672
por	2898045	8668.139
una	2861555	8558.997
no	2760501	8256.741
para	2384478	7132.045
su	2270982	6792.575
es	2019300	6039.787
lo	1879841	5622.661
al	1844336	5516.464
como	1639742	4904.517
más	1439562	4305.773
El	1242341	3715.879
La	1076646	3220.28
o	1071007	3203.414
sus	933494	2792.108
le	913366	2731.905
me	904129	2704.277
En	802317	2399.754
pero	758388	2268.361
ha	745714	2230.453
sobre	573051	1714.013
si	570769	1707.187
este	558219	1669.65
No	552977	1653.971
entre	535657	1602.166
ya	524400	1568.496
había	512744	1533.633
sin	501324	1499.475
todo	490808	1468.021
ser	485969	1453.548
años	482107	1441.996
fue	475768	1423.036
era	472104	1412.077
son	471878	1411.401
cuando	469768	1405.09
dos	461188	1379.427
también	452233	1352.642
mi	450523	1347.528
Y	447869	1339.59
muy	441750	1321.287
está	428981	1283.095
esta	425478	1272.617
Los	415653	1243.231
porque	407268	1218.151
hasta	404234	1209.076
desde	390357	1167.569
vez	372831	1115.149
qué	347202	1038.492
A	345458	1033.275
nos	340382	1018.093
han	333942	998.831
tiene	327645	979.996
donde	323779	968.433
Por	323139	966.518
hay	314619	941.035
parte	311411	931.44
te	308124	921.608
ese	304432	910.565
Pero	303843	908.803
puede	303595	908.062
todos	301950	903.141
vida	300210	897.937
yo	296077	885.575
Se	293653	878.325
tiempo	293639	878.283
bien	290754	869.654
él	289786	866.759
uno	289216	865.054
ni	287665	860.415
así	279714	836.633
eso	274582	821.283
dijo	274211	820.173
cada	266760	797.887
Es	266526	797.187
esa	258451	773.035
mismo	257787	771.049
e	248646	743.708
sólo	247813	741.216
otro	246806	738.204
otros	244906	732.521
1	242663	725.812
año	242332	724.822
día	240427	719.124
hacer	237407	710.091
ella	237053	709.033
Las	236560	707.558
hace	233416	698.154
