Lema	Clase	Frec. gral.	Frec. norm.	Frec. norm.
					sin signos ortog. 
el	T	36887167	96083.851	110307.854
de	P	23738705	61834.681	70988.526
,	Y	21082079	54914.69	63044.118
.	Y	14377225	37449.858	42993.837
y	C	9491865	24724.451	28384.594
en	P	9015307	23483.11	26959.489
a	P	8192216	21339.119	24498.107
uno	Q	6932755	18058.47	20731.799
que	H	5750641	14979.294	17196.79
ser	V	5353660	13945.237	16009.653
se	L	5253740	13684.965	15710.851
que	C	4336756	11296.401	12968.69
suyo	X	3373398	8787.042	10087.852
con	P	3303244	8604.304	9878.063
no	R	3282681	8550.742	9816.571
'	Y	3135554	8167.505	9376.601
por	P	3057119	7963.197	9142.048
para	P	2558349	6663.998	7650.519
lo	L	1978251	5152.957	5915.787
este	D	1794269	4673.72	5365.605
		1753147	4566.605	5242.633
como	C	1651687	4302.321	4939.226
estar	V	1567141	4082.096	4686.398
tener	V	1483297	3863.698	4435.67
le	L	1479308	3853.308	4423.741
)	Y	1362096	3547.994	4073.229
:	Y	1344552	3502.295	4020.765
me	L	1320858	3440.577	3949.911
(	Y	1317246	3431.168	3939.109
más	R	1311521	3416.256	3921.989
-	Y	1292618	3367.017	3865.461
hacer	V	1200156	3126.172	3588.962
lo	T	1196137	3115.703	3576.943
poder	V	1166409	3038.267	3488.044
ese	D	1155913	3010.927	3456.657
todo	Q	1143019	2977.341	3418.099
haber	V	1121964	2922.497	3355.135
o	C	1120634	2919.032	3351.158
pero	C	1062638	2767.964	3177.726
él	L	970168	2527.098	2901.203
otro	Q	924952	2409.319	2765.988
decir	V	912934	2378.014	2730.049
?	Y	907917	2364.946	2715.047
¿	Y	893840	2328.278	2672.951
ir	V	853824	2224.044	2553.286
??	U	769759	2005.072	2301.897
—	Y	761603	1983.827	2277.507
año	N	730252	1902.164	2183.755
si	C	707808	1843.701	2116.638
mío	X	657213	1711.911	1965.338
;	Y	595824	1552.005	1781.76
sobre	P	594159	1547.668	1776.781
dar	V	589903	1536.582	1764.053
ver	V	588275	1532.341	1759.185
entre	P	584816	1523.331	1748.841
cuando	R	572046	1490.068	1710.654
también	R	535063	1393.734	1600.059
ya	R	514035	1338.961	1537.177
...	Y	498096	1297.443	1489.513
sin	P	488584	1272.666	1461.068
/	Y	481110	1253.197	1438.717
qué	W	480349	1251.215	1436.442
nos	L	479578	1249.207	1434.136
te	L	479099	1247.959	1432.704
saber	V	468824	1221.195	1401.977
dos	M	467139	1216.806	1396.938
primero	M	459088	1195.834	1372.863
muy	R	453649	1181.667	1356.598
mismo	Q	452759	1179.349	1353.936
desde	P	450847	1174.368	1348.219
uno	M	448688	1168.744	1341.762
porque	C	443924	1156.335	1327.516
alguno	Q	440830	1148.276	1318.264
vez	N	422405	1100.282	1263.165
yo	L	419706	1093.252	1255.094
día	N	413543	1077.199	1236.664
hasta	P	406030	1057.629	1214.197
deber	V	405461	1056.147	1212.496
querer	V	402644	1048.809	1204.072
nuevo	A	371486	967.648	1110.896
llegar	V	355136	925.06	1062.003
parte	N	348071	906.657	1040.876
país	N	341859	890.476	1022.3
grande	A	341025	888.303	1019.806
dejar	V	331431	863.313	991.115
tiempo	N	328351	855.29	981.905
donde	R	327246	852.412	978.601
pasar	V	321992	838.726	962.889
mucho	Q	319170	831.375	954.45
vida	N	317611	827.314	949.788
nuestro	X	314857	820.141	941.552
llevar	V	286224	745.558	855.928
sólo	R	283389	738.173	847.45
encontrar	V	282790	736.613	845.659
%	R	281441	733.099	841.625
cada	Q	280109	729.629	837.642
quien	H	277269	722.231	829.149
bueno	A	276979	721.476	828.282
!	Y	276969	721.45	828.252
seguir	V	276636	720.583	827.256
quedar	V	274762	715.701	821.652
ni	C	274656	715.425	821.335
¡	Y	270050	703.427	807.561
persona	N	269911	703.065	807.145
después	R	268900	700.432	804.122
mujer	N	266230	693.477	796.138
poner	V	261833	682.024	782.989
ahora	R	255051	664.358	762.708
último	A	251427	654.918	751.871
aquel	D	250623	652.824	749.466
así	R	249828	650.753	747.089
parecer	V	248811	648.104	744.048
bien	R	247443	644.541	739.957
hablar	V	246717	642.65	737.786
aunque	C	243495	634.257	728.151
durante	P	237774	619.355	711.042
momento	N	236677	616.497	707.762
pensar	V	235523	613.491	704.311
mayor	A	234287	610.272	700.615
